#{"t_start": 1639590939.9665973, "env_id": null}
r,l,t
-21.0,1100,3058.513684
-21.0,1107,3066.110312
-21.0,1021,3067.660542
-21.0,1000,3075.404039
-21.0,1093,3077.087795
-21.0,1030,3085.088758
-21.0,1024,3086.748585
-21.0,1024,3094.646024
-21.0,1006,3096.220589
-19.0,1443,3104.763665
-21.0,1085,3112.15203
-21.0,1013,3113.716894
-21.0,1011,3122.196835
-21.0,1024,3123.765312
-21.0,1090,3131.293028
-20.0,1223,3133.179212
-21.0,1023,3141.25612
-21.0,1086,3142.970652
-21.0,1009,3150.216273
-21.0,1024,3151.712796
-21.0,1020,3158.948381
-21.0,1089,3160.575894
-21.0,1107,3168.205065
-20.0,1246,3176.102646
-21.0,1092,3177.801871
-21.0,1173,3185.174105
-21.0,1009,3186.698934
-21.0,1019,3193.853055
-21.0,1021,3195.393994
-21.0,1010,3202.796811
-21.0,1026,3204.322818
-21.0,1018,3211.834073
-21.0,1095,3213.473925
-21.0,1028,3221.691952
-21.0,1034,3223.460224
-21.0,1021,3231.178412
-21.0,1015,3232.737138
-21.0,1018,3240.277589
-21.0,1006,3241.800132
-21.0,1014,3250.05841
-21.0,1024,3251.649846
-21.0,1189,3259.926531
-21.0,1018,3261.627081
-20.0,1386,3269.950871
-21.0,1032,3271.469598
-21.0,1184,3279.513671
-21.0,1016,3281.080226
-21.0,1021,3289.203776
-21.0,1025,3290.753265
-21.0,1022,3298.9254
-21.0,1158,3306.465719
-21.0,1015,3308.084933
-21.0,1015,3316.581698
-20.0,1299,3318.570281
-21.0,1118,3326.098123
-21.0,1092,3327.730298
-21.0,1221,3335.392294
-21.0,1104,3337.03668
-21.0,1340,3345.413784
-21.0,1178,3353.413482
-21.0,1014,3354.936038
-20.0,1290,3363.049862
-21.0,1089,3364.703583
-21.0,1107,3372.577869
-21.0,1083,3374.20678
-21.0,1116,3382.284887
-21.0,1097,3383.929922
-21.0,1259,3392.088619
-21.0,1267,3400.217912
-21.0,1089,3401.849064
-21.0,1116,3409.740936
-21.0,1101,3411.404223
-21.0,1187,3419.413085
-21.0,1019,3420.960819
-21.0,1115,3428.852325
-21.0,1266,3430.764342
-20.0,1234,3438.922234
-21.0,1101,3446.323212
-21.0,1100,3447.969813
-21.0,1013,3455.707227
-21.0,1043,3457.28772
-21.0,1002,3465.064011
-21.0,1020,3466.591898
-21.0,997,3474.21954
-19.0,1360,3476.278061
-21.0,1092,3483.622786
-21.0,1113,3485.267757
-21.0,1124,3493.223137
-21.0,1258,3501.340723
